203,354,467,92
203,346,462,96
236,560,630,68
236,560,630,72
236,556,623,76
236,556,620,80
236,557,613,84
236,556,605,88
236,554,600,92
236,553,595,96
236,555,592,100
236,559,591,104
309,780,169,88
309,782,156,92
309,792,167,96
309,793,154,100
309,797,164,104
310,197,21,88
310,241,42,92
310,296,82,96
310,345,120,100
310,401,161,104
318,143,396,92
318,147,400,96
318,145,397,100
318,151,420,104
318,142,404,104
318,164,422,108
318,150,410,108
318,173,425,112
433,539,546,116
433,536,548,116
433,532,543,120
433,523,548,120
433,521,528,124
433,507,544,124
288,737,489,80
288,734,485,84
288,730,483,88
288,726,475,92
288,714,477,92
288,719,474,96
288,714,472,100
288,711,470,104
288,706,465,108
288,702,461,112
288,698,460,116
288,691,456,120
288,689,453,124
288,683,454,128
192,678,489,56
192,668,476,60
192,662,469,64
192,648,461,68
192,636,455,72
192,628,448,76
192,618,443,80
192,604,439,84
192,592,434,88
192,576,430,92
192,566,429,96
192,546,427,100
192,538,424,104
192,524,422,108
192,517,422,112
192,495,420,116
192,493,420,120
192,478,417,124
192,472,414,128
192,469,415,132
379,947,139,104
379,946,154,108
379,942,158,112
379,940,167,116
379,937,173,120
379,935,182,124
379,932,190,128
379,926,193,132
379,921,189,136
379,918,201,140
407,201,237,108
407,190,240,112
407,179,244,116
407,166,248,120
407,154,252,124
407,141,254,128
407,132,257,132
407,120,256,136
407,121,255,140
407,111,256,144
470,487,322,124
470,478,319,128
470,466,315,132
470,462,312,136
470,450,302,140
470,445,296,144
470,447,298,144
470,440,296,148
466,883,538,124
466,876,535,128
466,868,533,132
466,865,527,136
466,871,513,140
466,869,512,144
466,857,503,148
329,301,663,92
329,305,657,96
329,307,650,100
329,309,632,104
329,311,622,108
329,313,613,112
329,311,598,116
329,314,591,120
329,317,573,124
329,320,568,128
329,323,550,132
329,327,548,136
329,335,529,140
329,337,526,144
329,344,516,148
329,346,508,152
206,577,17,60
206,562,21,64
206,553,30,68
206,542,44,72
206,535,54,76
206,528,55,80
206,518,65,84
206,515,69,88
206,506,77,92
206,497,94,96
206,490,98,100
